# VWRP holdings from Vanguard's export, data as at 31 Aug 2026.
# Trimmed to the 626 holdings that could plausibly reach the top 150 within a year:
# the 150th carries 0.1083%, everything here is above 0.0271% (a 4x move). 82.3% of the fund.
#
# vanguard_weight is the fund's REAL published weight, not an estimate.
ticker,region,vanguard_weight,name
SDZ.SW,CH,0.032500,Sandoz Group AG
MDB,US,0.032400,MongoDB Inc
POLI.TA,IL,0.032400,Bank Hapoalim BM
IFC.TO,CA,0.032300,Intact Financial Corp
KMB,US,0.032300,Kimberly-Clark Corp
DXCM,US,0.032100,Dexcom Inc
VMC,US,0.032100,Vulcan Materials Co
POW.TO,CA,0.032000,Power Corp of Canada
8308.T,JP,0.032000,Resona Holdings Inc
CCI,US,0.031900,Crown Castle Inc
ALC.SW,CH,0.031800,Alcon AG
PRU.L,GB,0.031800,Prudential PLC
EME,US,0.031700,EMCOR Group Inc
KBC.BR,BE,0.031600,KBC Group NV
8015.T,JP,0.031600,Toyota Tsusho Corp
TEAM,US,0.031500,Atlassian Corp
TWLO,US,0.031500,Twilio Inc
